Edge,Node,Group,RNode,RGroup,weight
R10036,N10025,Cártel Jalisco Nueva Generación (CJNG),N10096,Los Cuinis,6
R10089,N10096,Los Cuinis,N10025,Cártel Jalisco Nueva Generación (CJNG),6
R10030,N10025,Cártel Jalisco Nueva Generación (CJNG),N10057,Fuerza Anti-Unión Tepito,5
R10055,N10057,Fuerza Anti-Unión Tepito,N10025,Cártel Jalisco Nueva Generación (CJNG),5
R10004,N10003,Caballeros Templarios,N10076,La Nueva Familia Michoacana,4
R10012,N10013,Cártel de Sinaloa,N10089,Los Cabrera,4
R10015,N10013,Cártel de Sinaloa,N10123,Los Salazares,4
R10020,N10017,Cártel del Golfo,N10116,Los Pelones,4
R10023,N10019,Cártel del Noreste,N10134,Los Zetas,4
R10071,N10076,La Nueva Familia Michoacana,N10003,Caballeros Templarios,4
R10081,N10089,Los Cabrera,N10013,Cártel de Sinaloa,4
R10107,N10116,Los Pelones,N10017,Cártel del Golfo,4
R10111,N10123,Los Salazares,N10013,Cártel de Sinaloa,4
R10117,N10134,Los Zetas,N10019,Cártel del Noreste,4
R10002,N10001,ACME,N10025,Cártel Jalisco Nueva Generación (CJNG),3
R10010,N10013,Cártel de Sinaloa,N10058,Gente Nueva,3
R10016,N10015,Cártel de Tláhuac,N10025,Cártel Jalisco Nueva Generación (CJNG),3
R10024,N10019,Cártel del Noreste,N10147,Tropa del Infierno,3
R10026,N10025,Cártel Jalisco Nueva Generación (CJNG),N10001,ACME,3
R10027,N10025,Cártel Jalisco Nueva Generación (CJNG),N10015,Cártel de Tláhuac,3
R10031,N10025,Cártel Jalisco Nueva Generación (CJNG),N10066,La Anti-Unión o La Rosa Nueva,3
R10033,N10025,Cártel Jalisco Nueva Generación (CJNG),N10081,La Unión Tepito,3
R10040,N10025,Cártel Jalisco Nueva Generación (CJNG),N10148,U o la UVA,3
R10056,N10058,Gente Nueva,N10013,Cártel de Sinaloa,3
R10064,N10066,La Anti-Unión o La Rosa Nueva,N10025,Cártel Jalisco Nueva Generación (CJNG),3
R10072,N10076,La Nueva Familia Michoacana,N10087,Los Blancos de Troya,3
R10073,N10076,La Nueva Familia Michoacana,N10107,Los Mayas,3
R10079,N10087,Los Blancos de Troya,N10076,La Nueva Familia Michoacana,3
R10100,N10107,Los Mayas,N10076,La Nueva Familia Michoacana,3
R10126,N10147,Tropa del Infierno,N10019,Cártel del Noreste,3
R10127,N10148,U o la UVA,N10025,Cártel Jalisco Nueva Generación (CJNG),3
R10005,N10004,Cártel de Caborca,N10070,La Barredora 24/7,2
R10006,N10004,Cártel de Caborca,N10114,Los Páez,2
R10007,N10006,Cártel de Los Alemanes,N10150,Zetas Vieja Escuela,2
