Node,Group,State,ShortName
N10001,ACME,Ciudad de México,ACME
N10002,Banda de El Perro,Ciudad de México,Banda de Perro
N10003,Caballeros Templarios,Colima,Caballeros Templarios
N10004,Cártel de Caborca,Sonora,Caborca
N10005,Cártel de Juárez,Chihuahua,Juárez
N10006,Cártel de Los Alemanes,San Luis Potosí,Alemanes
N10007,Cártel de Los Arellano Félix,Querétaro,Arellano Félix
N10008,Cártel de los Beltrán Leyva,Ciudad de México,Beltrán Leyva
N10009,Cártel de Los Pantoja Parada,Oaxaca,Pantoja Parada
N10010,Cártel de Los Tequileros,Guerrero,Tequileros
N10011,Cártel de Oaxaca,Yucatán,Oaxaca
N10012,Cártel de Santa Rosa de Lima,Yucatán,Santa Rosa de Lima
N10013,Cártel de Sinaloa,Durango,Sinaloa
N10014,Cártel de Telpacatepec,Michoacán,Telpacatepec
N10015,Cártel de Tláhuac,Ciudad de México,Tláhuac
N10016,Cártel del Abuelo,Michoacán,Abuelo
N10017,Cártel del Golfo,Quintana Roo,Golfo
N10018,Cártel del Golfo Nueva Era,Tamaulipas,Golfo Nueva Era
N10019,Cártel del Noreste,Campeche,Noreste
N10020,Cártel del Poniente o La Laguna,Chihuahua,Poniente o Laguna
N10021,Cártel del Siglo,Veracruz,Siglo
N10022,Cártel del Sur,Guerrero,Sur
N10023,Cártel en Nochistlán,Zacatecas,en Nochistlán
N10024,Cártel Independiente de Acapulco,Guerrero,Independiente de Acapulco
N10025,Cártel Jalisco Nueva Generación (CJNG),Jalisco,CJNG
N10026,Cártel Los Epitacio,Yucatán,Epitacio
N10027,Cártel Nueva Plaza,Guanajuato,Nueva Plaza
N10028,Cártel Pura Gente Nueva,Campeche,Pura Gente Nueva
N10029,Cártel San Luis Potosí Nueva Generación (CSLPNG),San Luis Potosí,San Luis Potosí Nueva Generación (CSLPNG)
N10030,Cártel Tijuana Nueva Generación,Baja California,Tijuana Nueva Generación
N10031,Cártel Zicuirán Nueva Generación,Michoacán,Zicuirán Nueva Generación
N10032,Cárteles Unidos,Veracruz,Cárteles Unidos
N10033,"Célula liderada por Alfonso Arzate García, El Aquiles",Baja California,"Célula liderada por Alfonso Arzate García, Aquiles"
N10034,Célula liderada por El Balín,Ciudad de México,Célula liderada por Balín
N10035,CJNG Comando la Mancha,Baja California,CJNG Comando la Mancha
N10036,Comandante Coronavirus,Quintana Roo,Comandante Coronavirus
N10037,Durangos/Cazadores,Sonora,Durangos/Cazadores
N10038,Ejército Revolucionario del Pueblo Insurgente (ERPI),Guerrero,Ejército Revolucionario del Pueblo Insurgente (ERPI)
N10039,El Araña,Ciudad de México,Araña
N10040,El Cano,Ciudad de México,Cano
N10041,El Chepe,Ciudad de México,Chepe
N10042,El Espárragos,Ciudad de México,Espárragos
N10043,El H,Ciudad de México,H
N10044,El Jardinero,Nayarit,Jardinero
N10045,El Loco Téllez,Puebla,Loco Téllez
N10046,El Nopa,Ciudad de México,Nopa
N10047,El Patines,Ciudad de México,Patines
N10048,El Pechugas,Ciudad de México,Pechugas
N10049,El Richis,Ciudad de México,Richis
N10050,El Robert,Ciudad de México,Robert
N10051,El Señor de la V,Morelos,Señor de la V
N10052,El Señor de la Virgen,Michoacán,Señor de la Virgen
N10053,El Señorón,Morelos,Señorón
N10054,El Temerario,Morelos,Temerario
N10055,Familia La Cruz,Ciudad de México,Familia Cruz
N10056,"Francisco Javier Arvizo Márquez, El Jaguar",Chihuahua,"Francisco Javier Arvizo Márquez, Jaguar"
N10057,Fuerza Anti-Unión Tepito,Ciudad de México,Fuerza Anti-Unión Tepito
N10058,Gente Nueva,Sinaloa,Gente Nueva
N10059,Grupo de Narco Rap,Tamaulipas,Grupo de Narco Rap
N10060,Grupo Élite del CJNG,Guanajuato,Grupo Élite del CJNG
N10061,Grupo Sombra,Veracruz,Grupo Sombra
N10062,Güero Fresa,Ciudad de México,Güero Fresa
N10063,Guerreros Unidos,Guerrero,GuerrerosU
N10064,Juan Balta,Ciudad de México,Juan Balta
N10065,"Juan L. (El Moco), líder huachicolero",Tlaxcala,"Juan L. (Moco), líder huachicolero"
