Edge,Node,Group,RNode,RGroup,weight
E10044,N10025,Cártel Jalisco Nueva Generación (CJNG),N10076,La Nueva Familia Michoacana,13
E10083,N10076,La Nueva Familia Michoacana,N10025,Cártel Jalisco Nueva Generación (CJNG),13
E10013,N10013,Cártel de Sinaloa,N10025,Cártel Jalisco Nueva Generación (CJNG),7
E10034,N10025,Cártel Jalisco Nueva Generación (CJNG),N10013,Cártel de Sinaloa,7
E10026,N10019,Cártel del Noreste,N10025,Cártel Jalisco Nueva Generación (CJNG),6
E10038,N10025,Cártel Jalisco Nueva Generación (CJNG),N10019,Cártel del Noreste,6
E10040,N10025,Cártel Jalisco Nueva Generación (CJNG),N10032,Cárteles Unidos,6
E10056,N10032,Cárteles Unidos,N10025,Cártel Jalisco Nueva Generación (CJNG),6
E10068,N10057,Fuerza Anti-Unión Tepito,N10081,La Unión Tepito,5
E10088,N10081,La Unión Tepito,N10057,Fuerza Anti-Unión Tepito,5
E10001,N10003,Caballeros Templarios,N10063,Guerreros Unidos,4
E10047,N10025,Cártel Jalisco Nueva Generación (CJNG),N10107,Los Mayas,4
E10072,N10063,Guerreros Unidos,N10003,Caballeros Templarios,4
E10102,N10107,Los Mayas,N10025,Cártel Jalisco Nueva Generación (CJNG),4
E10120,N10143,Sangre Nueva Zeta,N10134,Los Zetas,4
E10003,N10004,Cártel de Caborca,N10091,Los Chapitos,3
E10019,N10015,Cártel de Tláhuac,N10025,Cártel Jalisco Nueva Generación (CJNG),3
E10021,N10017,Cártel del Golfo,N10019,Cártel del Noreste,3
E10025,N10019,Cártel del Noreste,N10017,Cártel del Golfo,3
E10030,N10022,Cártel del Sur,N10130,Los Tlacos (Cartel de la Sierra),3
E10031,N10025,Cártel Jalisco Nueva Generación (CJNG),N10003,Caballeros Templarios,3
E10036,N10025,Cártel Jalisco Nueva Generación (CJNG),N10015,Cártel de Tláhuac,3
E10039,N10025,Cártel Jalisco Nueva Generación (CJNG),N10027,Cártel Nueva Plaza,3
E10041,N10025,Cártel Jalisco Nueva Generación (CJNG),N10040,El Cano,3
E10045,N10025,Cártel Jalisco Nueva Generación (CJNG),N10081,La Unión Tepito,3
E10052,N10025,Cártel Jalisco Nueva Generación (CJNG),N10150,Zetas Vieja Escuela,3
E10053,N10027,Cártel Nueva Plaza,N10025,Cártel Jalisco Nueva Generación (CJNG),3
E10059,N10040,El Cano,N10025,Cártel Jalisco Nueva Generación (CJNG),3
E10074,N10063,Guerreros Unidos,N10076,La Nueva Familia Michoacana,3
E10075,N10063,Guerreros Unidos,N10120,Los Rojos,3
E10084,N10076,La Nueva Familia Michoacana,N10063,Guerreros Unidos,3
E10087,N10081,La Unión Tepito,N10025,Cártel Jalisco Nueva Generación (CJNG),3
E10096,N10091,Los Chapitos,N10004,Cártel de Caborca,3
E10097,N10091,Los Chapitos,N10097,Los Dámasos/Fuerzas especiales Dámaso,3
E10099,N10097,Los Dámasos/Fuerzas especiales Dámaso,N10091,Los Chapitos,3
E10103,N10107,Los Mayas,N10120,Los Rojos,3
E10105,N10120,Los Rojos,N10107,Los Mayas,3
E10108,N10130,Los Tlacos (Cartel de la Sierra),N10022,Cártel del Sur,3
E10126,N10150,Zetas Vieja Escuela,N10025,Cártel Jalisco Nueva Generación (CJNG),3
E10004,N10005,Cártel de Juárez,N10013,Cártel de Sinaloa,2
E10006,N10008,Cártel de los Beltrán Leyva,N10019,Cártel del Noreste,2
E10009,N10012,Cártel de Santa Rosa de Lima,N10025,Cártel Jalisco Nueva Generación (CJNG),2
E10010,N10012,Cártel de Santa Rosa de Lima,N10080,La Unión León,2
E10011,N10013,Cártel de Sinaloa,N10005,Cártel de Juárez,2
E10016,N10013,Cártel de Sinaloa,N10076,La Nueva Familia Michoacana,2
E10018,N10014,Cártel de Telpacatepec,N10025,Cártel Jalisco Nueva Generación (CJNG),2
E10024,N10019,Cártel del Noreste,N10008,Cártel de los Beltrán Leyva,2
E10028,N10019,Cártel del Noreste,N10134,Los Zetas,2
E10029,N10019,Cártel del Noreste,N10150,Zetas Vieja Escuela,2
E10033,N10025,Cártel Jalisco Nueva Generación (CJNG),N10012,Cártel de Santa Rosa de Lima,2
E10035,N10025,Cártel Jalisco Nueva Generación (CJNG),N10014,Cártel de Telpacatepec,2
E10043,N10025,Cártel Jalisco Nueva Generación (CJNG),N10070,La Barredora 24/7,2
E10046,N10025,Cártel Jalisco Nueva Generación (CJNG),N10087,Los Blancos de Troya,2
E10049,N10025,Cártel Jalisco Nueva Generación (CJNG),N10131,Los Tlahuicas,2
